,High,Low,Open,Close,Volume,Adj Close,Date_copy,STOCHFk_14,STOCHFd_3,STOCHk_5,STOCHd_3,STOCHFk_98,STOCHFd_21,STOCHk_35,STOCHd_21,STOCHFk_420,STOCHFd_90,STOCHk_150,STOCHd_90,hd_slowave,sto_diff,riz,riz_sto,ticker,companyshortname,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
2015-09-11,147.5,145.6699981689453,145.91000366210938,147.3699951171875,3115100.0,118.01398468017578,2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,147.3699951171875,145.41000366210938,147.3699951171875,145.64999389648438,3226700.0,116.63660430908203,2015-09-14,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2015-09-15,147.92999267578125,145.75999450683594,146.60000610351562,147.52999877929688,2717100.0,118.14210510253906,2015-09-15,,,,,,,,,,,,,,,68.61317933496316,,,,,,,,,,
2015-09-16,148.88999938964844,147.5399932861328,147.83999633789062,148.41000366210938,2799200.0,118.84683990478516,2015-09-16,,,,,,,,,,,,,,,80.88894012810559,,,,,,,,,,
2015-09-17,149.67999267578125,147.3000030517578,148.10000610351562,148.13999938964844,4003000.0,118.63062286376953,2015-09-17,63.9344906696017,,,,,,,,,,,,,,65.2328592562614,,,,,,,,,,
2015-09-18,146.38999938964844,143.97999572753906,146.0500030517578,144.50999450683594,7975800.0,115.72370910644531,2015-09-18,9.298229176426497,,,,,,,,,,,,,,10.514174292739837,,,,,,,,,,
2015-09-21,146.97999572753906,144.9199981689453,145.38999938964844,146.47999572753906,3825000.0,117.30126953125,2015-09-21,43.859672605105004,39.03079748371107,,,,,,,,,,,,,53.15994229629463,,,,,,,,,,
2015-09-22,145.05999755859375,143.77000427246094,144.6199951171875,144.42999267578125,3564100.0,115.65962219238281,2015-09-22,11.16733838173899,21.44174672109017,,,,,,,,,,,,,26.688920483337142,,,,,,,,,,
2015-09-23,144.57000732421875,142.75,144.2100067138672,143.66000366210938,2674200.0,115.0429916381836,2015-09-23,13.131379853973455,22.71946361360582,28.27822213736913,,,,,,,,,,,,19.4233422372692,,,,,,,,,,
2015-09-24,145.07000732421875,141.9499969482422,142.60000610351562,144.41000366210938,3280300.0,115.64363098144531,2015-09-24,48.90670598156811,24.401808072426856,25.27266519976241,,,,,,,,,,,,47.34686224524503,,,,,,,,,,
2015-09-25,146.27000427246094,144.52999877929688,145.5500030517578,145.4199981689453,3474400.0,116.45240020751953,2015-09-25,68.98612450932212,43.67473678162123,37.21024426634153,30.253710534491024,,,,,,,,,,,72.7659781174425,,,,,,,,,,
2015-09-28,145.3800048828125,142.47000122070312,144.4199981689453,142.52000427246094,4317300.0,114.13011169433594,2015-09-28,13.194591616157334,43.69580736901586,31.077228068552,31.186712511551985,,,,,,,,,,,19.28942086294295,,,,,,,,,,
